id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Canyon Echoes,folk,relaxed,0.33,85,0.74,0.48,0.94
12,Bass Drop City,Frequency Unit,electronic,intense,0.95,140,0.52,0.91,0.02
13,Golden Afternoon,The Mellow Keys,jazz,happy,0.55,100,0.88,0.65,0.77
14,Rain on Concrete,Grey Pulse,hip-hop,moody,0.68,94,0.41,0.79,0.30
15,Analog Dreams,Cassette Wave,synthwave,nostalgic,0.71,108,0.60,0.76,0.19
16,Porch Swing Summer,The Mellow Keys,folk,happy,0.44,92,0.83,0.56,0.88
17,Iron Sky,Voltline,rock,intense,0.88,158,0.39,0.62,0.08
18,Bubble Tea Drive,Neon Echo,pop,happy,0.79,120,0.87,0.85,0.14
19,Hollow Forest,Paper Lanterns,ambient,melancholic,0.22,55,0.33,0.38,0.96
20,Late Night Grind,LoRoom,lofi,focused,0.38,76,0.55,0.58,0.80
